,productCd,countryCd,label
240,8513101000,Austria,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
241,8513109080,Austria,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
242,85131000,Italy,Portable electrical lamps designed to function by their own source of energy
243,8513100000,Italy,PORTABLE ELECTRICAL LAMPS DESIGNED TO FUNCTION BY THEIR OWN SOURCE OF ENERGY
244,8513101000,Italy,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
245,8513109080,Italy,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
246,85131000,Poland,Portable electrical lamps designed to function by their own source of energy
247,8513100000,Poland,PORTABLE ELECTRICAL LAMPS DESIGNED TO FUNCTION BY THEIR OWN SOURCE OF ENERGY
248,8513101000,Poland,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
249,8513109080,Poland,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
250,85131000,Portugal,Portable electrical lamps designed to function by their own source of energy
251,8513100000,Portugal,PORTABLE ELECTRICAL LAMPS DESIGNED TO FUNCTION BY THEIR OWN SOURCE OF ENERGY
252,8513101000,Portugal,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
253,8513109080,Portugal,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
254,85131000,Slovenia,Portable electrical lamps designed to function by their own source of energy
255,8513100000,Slovenia,PORTABLE ELECTRICAL LAMPS DESIGNED TO FUNCTION BY THEIR OWN SOURCE OF ENERGY
256,8513101000,Slovenia,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
257,8513109080,Slovenia,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
258,85131000,Spain,Portable electrical lamps designed to function by their own source of energy
259,8513100000,Spain,PORTABLE ELECTRICAL LAMPS DESIGNED TO FUNCTION BY THEIR OWN SOURCE OF ENERGY
260,8513101000,Spain,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
261,8513109080,Spain,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
262,85131000,Romania,Portable electrical lamps designed to function by their own source of energy
263,8513100000,Romania,PORTABLE ELECTRICAL LAMPS DESIGNED TO FUNCTION BY THEIR OWN SOURCE OF ENERGY
264,8513101000,Romania,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
265,8513109080,Romania,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
266,85131000,Sweden,Portable electrical lamps designed to function by their own source of energy
267,8513100000,Sweden,PORTABLE ELECTRICAL LAMPS DESIGNED TO FUNCTION BY THEIR OWN SOURCE OF ENERGY
268,8513101000,Sweden,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
269,8513109080,Sweden,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
270,85131000,United Kingdom,Portable electrical lamps designed to function by their own source of energy
271,8513100000,United Kingdom,PORTABLE ELECTRICAL LAMPS DESIGNED TO FUNCTION BY THEIR OWN SOURCE OF ENERGY
272,8513101000,United Kingdom,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
273,8513109080,United Kingdom,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
274,85131000,Slovakia,Portable electrical lamps designed to function by their own source of energy
275,8513100000,Slovakia,PORTABLE ELECTRICAL LAMPS DESIGNED TO FUNCTION BY THEIR OWN SOURCE OF ENERGY
276,8513101000,Slovakia,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
277,8513109080,Slovakia,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
278,85131000,Latvia,Portable electrical lamps designed to function by their own source of energy
279,8513100000,Latvia,PORTABLE ELECTRICAL LAMPS DESIGNED TO FUNCTION BY THEIR OWN SOURCE OF ENERGY
280,8513101000,Latvia,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
281,8513109080,Latvia,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
282,85131010,Malawi,Portable electrical lamps designed to function by their own source of energy: Minors safety lamps
283,85131090,Malawi,Portable electrical lamps designed to function by their own source of energy: Other
284,85131000,Malawi,Portable electric lamp designd to function by thr own source of energy
285,851310000,Malaysia,Electric lamps
286,8513109000,Malaysia,Portable electrical lamps designed to function by their own source of energy: Other than Miners’ helmet lamps and Quarrymen’s lamps
287,8513103000,Malaysia,Portable electrical lamps designed to function by their own source of energy: Miners’ helmet lamps and quarrymen’s lamps
288,851310010,Malaysia,Miner's cap lamps
289,851310020,Malaysia,Quarrymen's lamps
290,851310090,Malaysia,Other lamps
291,8513100011,Maldives,Portable electrical lamps designed to function by their own source of energy: under water light
292,8513100010,Maldives,Portable electrical lamps designed to function by their own source of energy: torch
293,8513100010,Mali,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
294,8513100000,Mali,"Lampes electriques portatives,appareils d'eclairage du N 85.12 exclus"
295,8513100090,Mali,Autres Lampes solaires
296,8513100000,Mauritania,"Lampes electriques portatives,appareils d'eclairage du n 85.12 excl"
297,85131000000,Mauritania,Portable electrical lamps designed to function by their own source of energy (detailed label not available)
298,85131000,Mauritius,"Portable electric lamps,self powdered,ex dry batteries,accumulators,etc"
299,85131000,Mexico,Lamparas electricas portatiles que funcionen con su propia fuente de energia
300,85131001,Mexico,"Lamparas electricas portatiles que funcionen con su propia fuente de energia: de seguridad, para mineros."
301,85131099,Mexico,Lamparas electricas portatiles que funcionen con su propia fuente de energia: las dem s.
302,85131090003,"Taipei, Chinese",Other portable electric lamps
303,85131010000,"Taipei, Chinese","Torches, portable"
304,85131020008,"Taipei, Chinese","Safety lamps, miner's, electric"
305,85131000,Mongolia,Portable electrical lamps designed to function by their own source of energy
306,851310000,"Moldova, Republic of",Portable electrical lamps designed to function by their own source of energy
307,85131000,Montserrat,Portable electrical lamps designed to function by their own source of energy
308,8513100010,Morocco,Lampes electriques completes de surete pour mineurs
309,8513100090,Morocco,Autres lampes electriques portatives
310,85131000,Mozambique,Lamparas electricas portatiles que funcionen con su propia fuente de energia
311,85131000,Oman,Portable electrical lamps designed to function by their own source of energy
312,85131000,Nepal,Portable electrical lamps designed to function by their own source of energy
313,8513100000,Netherlands Antilles,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
314,85131000,Aruba,Portable electrical lamps designed to function by their own source of energy
315,85131000,New Caledonia,Lampes electriques portatives
316,8513100001,New Zealand,"Lamps; portable, electric, designed to function by their own energy source (eg dry batteries), specially designed for use as miners' safety lamps"
317,8513100011,New Zealand,"Lamps; portable, electric, designed to function by their own energy source (eg dry batteries), not lighting equipment of heading no. 8512, flashlights, torches (not designed as miners' safety lamps)"
318,8513100019,New Zealand,"Lamps; portable, electric, designed to function by their own energy source (eg dry batteries), not lighting equipment of heading no. 8512, (other than flashlights, torches or miners' safety lamps)"
319,851310000000,Nicaragua,Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía
320,85131000000,Nicaragua,Lamparas electricas portatiles que funcionen con su propia fuente de energia
321,8513100000,Nicaragua,Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía
322,8513100000,Niger,"Lampes electriques portatives, appareils d'eclairage du n 85.12 exclus"
323,8513100010,Niger,"Lampes électriques portatives, destinées à fonctionner au moyen de leur propre source d'énergie + libellé détaillé non disponible +"
324,8513100000,Nigeria,Lamps
